id,gender,birth,degree
12923,F,1987-05-13,1d
12924,M,1958-09-21,1d
12925,M,1960-05-04,1c
12926,F,1951-10-10,1d
12927,M,1942-12-02,1b
12928,F,1971-05-01,1c
12929,M,1984-12-31,1d
12930,F,1962-06-29,1d
12931,F,1948-07-24,1d
12932,M,1964-05-10,1b
12933,F,1955-12-31,1d
12934,M,1972-04-28,1b
12935,F,1984-02-10,1d
12936,M,1941-09-04,1c
12937,F,1961-06-30,1d
12938,M,1987-06-22,1d
12939,F,1983-01-29,1c
12940,F,1937-08-18,1b
12941,M,1981-08-04,1d
12942,F,1969-11-07,1c
12943,M,1980-12-16,1c
12944,F,1977-11-21,1d
12945,M,1979-11-01,1c
12946,F,1987-01-26,1d
12947,M,1978-06-20,1b
12948,M,1988-04-20,1e
12949,M,1973-02-14,1a
12950,F,1960-03-19,1c
12951,M,1979-03-05,1b
12952,F,1979-11-20,1b
12953,F,1979-10-27,1c
12954,F,1978-01-18,1c
12955,M,1975-11-26,1b
12956,M,1983-11-27,1b
12957,F,1976-11-25,1c
12958,M,1987-05-21,1d
12959,M,1981-01-28,1b
12960,F,1987-12-08,1e
12961,F,1987-03-01,1e
12962,F,1984-08-17,1d
12963,M,1975-02-28,1a
12964,M,1970-10-11,1b
12965,F,1986-01-14,1d
12966,F,1983-04-28,1c
12967,M,1946-01-03,1d
12968,M,1983-04-08,1b
12969,M,1976-11-07,1b
12970,F,1958-01-22,1c
12971,F,1968-06-04,1b
12972,M,1985-05-23,1d
12973,F,1986-06-29,1c
12974,M,1982-06-19,1b
12975,F,1988-08-10,1e
12976,M,1977-01-17,1b
12977,M,1984-09-04,1d
12978,F,1988-06-25,1b
12979,M,1983-04-29,1d
12980,M,1960-09-05,1c
12981,M,1944-09-18,1d
12982,M,1984-03-03,1b
12983,M,1964-03-14,1d
12984,M,1984-12-11,1d
12985,F,1987-02-28,1d
12986,M,1929-12-29,1c
12987,M,1983-01-26,1d
12988,F,1937-11-25,1c
12989,M,1951-07-03,1d
12990,F,1964-05-03,1b
12991,M,1988-07-10,1e
12992,F,1984-11-28,1d
12993,M,1978-11-17,1a
12994,F,1983-01-04,1b
12995,F,1977-06-09,1b
12996,M,1983-06-24,1c
12997,F,1972-01-06,1c
12998,F,1984-07-21,1b
12999,M,1979-10-05,1b
13000,M,1986-12-03,1d
13001,F,1987-12-25,1e
13002,F,1975-06-12,1d
13003,M,1981-02-03,1b
13004,F,1975-02-05,1b
13005,M,1986-01-16,1d
13006,M,1987-01-23,1b
13007,F,1981-06-29,1b
13008,M,1980-05-19,1c
13009,M,1968-08-01,1b
13010,M,1976-07-26,1a
13011,F,1965-01-17,1b
13012,F,1960-09-15,1b
13013,F,1988-06-22,1d
13014,M,1987-10-10,1e
13015,M,1956-08-27,1a
13016,F,1980-10-31,1b
13017,F,1974-05-25,1a
13018,F,1986-11-25,1d
13019,M,1985-01-24,1a
13020,M,1979-09-12,1b
13021,F,1970-12-30,1b
13022,F,1978-10-03,1c
13023,F,1981-10-24,1b
13024,F,1981-09-18,1b
13025,M,1975-04-28,1a
13026,M,1984-06-16,1c
13027,F,1982-02-18,1b
13028,F,1986-09-21,1d
13029,F,1989-05-20,1e
13030,F,1981-12-21,1b
13031,F,1985-05-28,1b
13032,F,1982-04-11,1b
13033,F,1978-06-12,1b
13034,F,2004-03-16,1b
13035,M,1957-07-27,1b
13036,F,1982-11-06,1b
13037,M,1980-09-10,1c
13038,F,1983-06-12,1b
13039,F,1987-03-27,1d
13040,F,1979-11-05,1c
13041,M,1949-10-12,1d
13042,M,1953-09-26,1d
13043,F,1980-07-16,1c
13044,M,1978-05-08,1b
13045,F,1982-09-17,1c
13046,F,1986-01-13,1b
13047,M,1982-11-22,1d
13048,F,1946-03-04,1b
13049,M,1973-06-14,1c
13050,F,1985-03-02,1b
13051,M,1973-07-12,1a
13052,F,1975-04-09,1b
13053,M,1982-12-30,1c
13054,M,1986-08-20,1d
13055,F,1988-02-29,1b
13056,M,1988-02-19,1e
13057,M,1983-07-02,1c
13058,M,1957-03-04,1d
13059,M,1988-08-31,1d
13060,F,1988-08-09,1e
13061,M,1980-11-11,1b
13062,F,1972-11-14,1b
13063,F,1981-05-26,1b
13064,F,1984-05-18,1b
13065,M,1982-12-08,1b
13066,M,1975-10-26,1c
13067,M,1984-02-29,1c
13068,M,1979-04-16,1b
13069,M,1984-08-21,1d
13070,F,1980-07-13,1b
13071,M,1978-08-21,1a
13072,F,1978-08-01,1a
13073,F,1978-01-17,1a
13074,M,1982-12-05,1b
13075,F,1981-12-04,1c
13076,F,1984-12-30,1b
13077,F,1956-10-05,1d
13078,M,1975-03-17,1b
13079,M,1962-06-05,1c
13080,F,1982-06-24,1b
13081,M,1971-12-31,1b
13082,F,1955-12-09,1d
13083,M,1972-03-04,1a
13084,F,1983-09-28,1c
13085,M,1959-08-08,1c
13086,F,1976-10-06,1a
13087,M,1957-11-19,1b
13088,F,1980-09-20,1b
13089,M,1982-11-06,1c
13090,F,1989-01-30,1d
13091,M,1967-07-06,1c
13092,F,1983-04-14,1b
13093,F,1964-11-09,1d
13094,F,1979-12-30,1b
13095,F,1982-09-28,1c
13096,F,1952-07-08,1d
13097,F,1974-01-08,1a
13098,M,1945-02-28,1c
13099,M,1950-07-06,1c
13100,M,1986-11-25,1d
13101,F,1982-01-21,1c
13102,F,1983-08-30,1d
13103,M,1984-03-05,1b
13104,F,1985-06-30,1c
13105,M,1985-01-22,1d
13106,M,1979-01-27,1b
13107,M,1976-09-12,1b
13108,F,1978-05-10,1c
13109,M,1956-12-24,1b
13110,M,1973-10-30,1b
13111,F,1980-10-29,1b
13112,M,1981-10-01,1c
13113,F,1982-12-15,1b
13114,F,1981-08-14,1b
13115,F,1987-12-13,1e
13116,M,1969-08-26,1d
13117,M,1977-11-04,1b
13118,F,1972-12-13,1b
13119,M,1981-10-22,1b
13120,F,1981-11-14,1b
13121,M,1985-10-10,1e
13122,M,1978-05-29,1b
13123,F,1987-12-21,1d
13124,M,1979-01-02,1b
13125,M,1953-06-20,1d
13126,M,1971-04-16,1a
13127,F,1982-07-13,1b
13128,M,1957-02-19,1a
13129,M,1972-12-17,1b
13130,M,1986-07-17,1d
13131,F,1976-09-23,1b
13132,M,1979-03-27,1b
13133,M,1966-10-20,1a
13134,M,1977-01-12,1b
13135,F,1957-05-24,1d
13136,M,1986-11-19,1d
13137,M,1954-10-09,1c
13138,F,1983-03-23,1d
13139,M,1972-06-15,1a
13140,M,1984-07-29,1d
13141,M,1957-09-20,1b
13142,M,1983-06-29,1b
13143,F,1976-11-11,1d
13144,F,1977-03-16,1a
13145,F,1987-10-18,1e
13146,F,1947-07-17,1d
13147,M,1944-10-20,1b
13148,M,1978-08-19,1a
13149,M,1968-03-03,1a
13150,F,1970-07-12,1a
13151,M,1984-08-21,1b
13152,F,1976-02-15,1b
13153,F,1986-03-15,1d
13154,F,1981-04-07,1b
13155,F,1976-10-20,1a
13156,M,1980-06-09,1b
13157,M,1977-06-29,1a
13158,M,1968-05-05,1a
13159,F,1964-04-02,1b
13160,F,1985-01-31,1c
13161,M,1953-12-31,1c
13162,M,1977-08-16,1c
13163,F,1986-12-27,1d
13164,M,1977-04-15,1a
13165,F,1981-02-17,1b
13166,F,1983-07-18,1b
13167,F,1985-07-25,1d
13168,F,1977-02-06,1a
13169,M,1987-03-05,1d
13170,F,1969-01-01,1c
13171,M,1987-05-12,1d
13172,M,1971-02-13,1a
13173,M,1956-05-24,1d
13174,M,1981-03-05,1a
13175,M,1984-07-15,1b
13176,M,1979-11-10,1b
13177,F,1987-08-17,1e
13178,F,1962-05-11,1d
13179,M,1984-02-15,1d
13180,M,1975-12-15,1d
13181,M,1983-01-29,1d
13182,M,1987-02-24,1b
13183,M,1983-01-06,1b
13184,F,1979-02-22,1b
13185,M,1986-02-16,1d
13186,M,1972-01-05,1a
13187,F,1984-11-18,1d
13188,M,1954-01-26,1b
13189,,,
13190,M,1987-08-06,1d
13191,F,1979-06-16,1a
13192,F,1979-05-21,1b
13193,M,1985-03-20,1b
13194,F,1980-07-22,1d
13195,M,1979-03-03,1b
13196,F,1986-07-30,1d
13197,F,1973-03-08,1b
13198,F,1980-10-25,1b
13199,F,1971-10-22,1b
13200,M,1973-12-30,1c
13201,M,1979-02-01,1b
13202,M,1983-11-23,1d
13203,F,1909-09-22,1c
13204,M,1983-09-12,1b
13205,F,1970-11-23,1a
13206,M,1947-03-21,1b
13207,M,1987-11-13,1d
13208,M,1972-12-06,1b
13209,F,1979-02-11,1d
13210,M,1970-12-06,1d
13211,M,1951-12-08,1c
13212,F,1976-03-12,1b
13213,M,1988-02-27,1d
13214,F,1953-09-16,1c
13215,F,1984-07-21,1b
13216,F,1977-12-21,1b
13217,F,1974-10-20,1d
13218,M,1950-08-03,1e
13219,M,1975-05-08,1c
13220,M,1946-04-30,1b
13221,M,1986-02-25,1d
13222,F,1981-06-20,1b
13223,F,1983-07-26,1d
13224,M,1968-03-03,1c
13225,F,1985-06-08,1c
13226,M,1984-10-13,1c
13227,F,1984-02-14,1c
13228,M,1967-04-14,1a
13229,F,1954-08-02,1d
13230,M,1974-09-22,1c
13231,M,1946-01-08,1b
13232,M,1975-02-15,1b
13233,F,1962-04-05,1d
13234,M,1980-12-22,1d
13235,M,1981-10-08,1b
13236,F,1979-09-02,1d
13237,F,1976-12-21,1a
13238,F,1984-05-10,1b
13239,M,1979-09-22,1b
13240,F,1976-11-06,1a
13241,F,1978-07-14,1c
13242,M,1969-06-01,1c
13243,M,1970-01-13,1a
13244,F,1989-10-11,1e
13245,F,1980-01-14,1d
13246,F,1979-09-02,1d
13247,F,1976-12-25,1b
13248,F,1955-07-01,1c
13249,F,1978-12-21,1d
13250,M,1978-12-31,1d
13251,M,1936-04-03,1c
13252,F,1986-03-06,1d
13253,M,1956-09-02,1b
13254,F,1969-03-01,1d
13255,F,1948-11-11,1e
13256,M,1971-03-06,1d
13257,M,1986-12-08,1d
13258,F,1977-04-01,1d
13259,F,1988-04-28,1d
13260,F,1951-06-12,1c
13261,M,1979-01-02,1d
13262,M,1968-12-31,1b
13263,F,1985-10-05,1d
13264,M,1978-12-26,1b
13265,F,1975-03-05,1a
13266,M,1985-08-04,1d
13267,F,1985-07-16,1d
13268,F,1976-08-14,1b
13269,F,1978-03-01,1a
13270,F,1989-08-29,1e
13271,F,1975-04-24,1a
13272,F,1971-07-15,1c
13273,M,1976-01-26,1d
13274,M,1970-04-21,1b
13275,F,1970-02-15,1b
13276,M,1977-04-09,1b
13277,M,1986-03-12,1d
13278,F,1989-01-20,1e
13279,F,1979-07-10,1c
13280,M,1978-08-24,1b
13281,F,1978-11-04,1a
13282,M,1972-03-12,1b
13283,M,1972-03-16,1b
13284,M,1980-12-08,1b
13285,F,1978-01-07,1b
13286,F,1979-02-22,1c
13287,M,1967-01-26,1d
13288,F,1978-08-27,1b
13289,F,1972-03-28,1c
13290,F,1973-12-30,1a
13291,F,1969-04-28,1d
13292,F,1973-04-20,1b
13293,F,1979-01-30,1a
13294,M,1939-10-06,1b
13295,F,1983-09-04,1b
13296,M,1982-07-26,1c
13297,F,1974-09-14,1b
13298,M,1982-12-10,1d
13299,M,1971-10-07,1a
13300,M,1978-09-16,1b
13301,M,1983-02-05,1b
13302,M,1984-10-26,1d
13303,M,1971-12-09,1d
13304,M,1972-12-30,1a
13305,M,1972-05-19,1a
13306,F,1978-10-01,1b
13307,F,1984-08-30,1c
13308,F,1987-01-24,1d
13309,M,1985-01-02,1d
13310,F,1974-04-10,1b
13311,F,1972-05-18,1c
13312,M,1957-01-18,1c
13313,F,1981-01-10,1b
13314,F,1981-04-20,1b
13315,M,1979-03-03,1b
13316,M,1980-11-18,1b
13317,M,1976-03-25,1c
13318,F,1976-10-05,1b
13319,F,1978-10-02,1b
13320,F,1972-05-16,1b
13321,M,1973-02-15,1b
13322,M,1981-02-08,1b
13323,F,1984-01-27,1c
13324,F,1970-07-14,1a
13325,M,1979-03-15,1b
13326,F,1964-02-12,1d
13327,F,1952-12-27,1d
13328,M,1961-01-14,1d
13329,M,1983-02-15,1b
13330,M,1980-12-13,1b
13331,F,1985-03-26,1c
13332,M,1941-05-09,1b
13333,M,1964-10-16,1a
13334,M,1977-09-19,1a
13335,M,1968-03-04,1b
13336,M,1982-07-05,1b
13337,F,1982-07-13,1b
13338,F,1979-01-13,1a
13339,F,1979-05-29,1c
13340,M,1969-03-20,1a
13341,F,1981-08-11,1a
13342,M,1982-06-20,1b
13343,F,1940-04-30,1d
13344,F,1981-11-15,1b
13345,M,1977-11-11,1c
13346,F,1984-04-11,1b
13347,M,1988-03-05,1d
13348,F,1984-04-09,1c
13349,M,1972-08-10,1a
13350,F,1970-01-24,1b
13351,F,1986-09-09,1d
13352,M,1955-08-15,1c
13353,F,1978-07-19,1c
13354,F,1983-09-16,1b
13355,M,1948-09-02,1c
13356,M,1983-11-12,1b
13357,M,1972-09-29,1a
13358,M,1980-06-05,1a
13359,M,1979-08-26,1b
13360,M,1970-10-08,1a
13361,M,1982-09-07,1c
13362,F,1980-03-12,1b
13363,M,1975-08-22,1a
13364,M,1976-08-01,1d
13365,M,1979-12-13,1a
13366,M,1983-10-20,1d
13367,M,1972-04-09,1a
13368,F,1977-02-13,1b
13369,F,1988-08-14,1d
13370,M,1964-03-25,1a
13371,F,1964-05-26,1b
13372,F,1975-08-08,1b
13373,M,1957-03-11,1c
13374,F,1976-06-29,1b
13375,M,1980-04-04,1a
13376,M,1985-02-04,1b
13377,M,1977-07-29,1c
13378,M,1982-10-17,1c
13379,F,1984-01-05,1b
13380,F,1982-02-28,1c
13381,M,1968-06-04,1d
13382,F,1979-07-26,1b
13383,M,1943-03-17,1d
13384,M,1986-02-12,1d
13385,M,1959-02-06,1b
13386,F,1982-01-09,1d
13387,F,1985-02-20,1c
13388,M,1987-11-12,1d
13389,F,1986-08-17,1d
13390,F,1980-11-12,1a
13391,F,1978-12-07,1d
13392,M,1977-06-20,1a
13393,M,1948-01-31,1d
13394,F,1981-02-03,1c
13395,M,1979-11-15,1a
13396,M,1977-03-18,1a
13397,F,1979-10-11,1d
13398,F,1973-11-02,1d
13399,M,1944-03-18,1b
13400,F,1986-09-05,1d
13401,F,1977-12-20,1b
13402,M,1982-11-15,1d
13403,F,1961-07-24,1d
13404,M,1973-04-18,1d
13405,M,1973-05-18,1c
13406,F,1986-03-05,1d
13407,F,1983-11-02,1c
13408,M,1983-12-30,1b
13409,M,1980-12-23,1b
13410,F,1986-07-02,1d
13411,M,1979-02-28,1d
13412,M,1946-03-19,1d
13413,F,1949-05-17,1d
13414,F,1970-07-18,1c
13415,M,1976-11-24,1a
13416,F,1977-02-07,1d
13417,M,1946-09-30,1c
13418,M,1976-10-24,1d
13419,F,1981-01-20,1b
13420,F,1970-10-29,1d
13421,M,1973-07-22,1a
13422,F,1952-11-11,1d
13423,M,1985-09-12,1d
13424,M,1952-05-05,1d
13425,M,1938-01-09,1b
13426,M,1951-06-28,1c
13427,F,1967-12-26,1d
13428,M,1987-06-29,1d
13429,F,1983-02-13,1c
13430,M,1979-12-10,1d
13431,M,1956-04-07,1a
13432,F,1976-02-28,1b
13433,M,1983-04-23,1b
13434,F,1985-03-23,1b
13435,F,1980-09-27,1b
13436,M,1970-10-12,1a
13437,F,1976-06-24,1b
13438,M,1981-01-02,1c
13439,F,1987-09-13,1e
13440,F,1956-04-26,1d
13441,M,1987-07-23,1d
13442,M,1972-06-08,1a
13443,M,1977-02-26,1a
13444,F,1979-12-18,1b
13445,F,1983-12-13,1d
13446,M,1980-05-01,1a
13447,F,1981-12-25,1b
13448,M,1983-07-05,1d
13449,F,1982-07-02,1d
13450,M,1985-02-21,1d
13451,M,1985-07-11,1d
13452,M,1965-09-25,1a
13453,F,1977-12-30,1c
13454,M,1976-12-11,1d
13455,M,1979-11-14,1b
13456,M,1933-07-07,1b
13457,M,1974-09-07,1c
13458,M,1972-03-21,1d
13459,M,1979-09-10,1b
13460,F,1956-01-14,1c
13461,F,1979-10-10,1e
13462,F,1984-08-15,1b
13463,F,1984-07-30,1b
13464,F,1985-04-17,1b
13465,M,1984-06-12,1c
13466,M,1981-01-07,1b
13467,M,1976-01-05,1b
13468,F,1981-09-28,1c
13469,F,1983-04-02,1b
13470,F,1971-07-18,1b
13471,F,1987-02-14,1b
13472,M,1987-09-28,1d
13473,M,1973-11-08,1b
13474,M,1983-10-08,1c
13475,M,1957-11-15,1d
13476,M,1979-03-27,1b
13477,M,1982-05-11,1b
13478,F,1983-08-12,1c
13479,M,1973-05-29,1a
13480,M,1954-08-29,1d
13481,F,1986-04-20,1b
13482,F,1980-09-14,1b
13483,F,1965-11-10,1c
13484,F,1985-01-26,1b
13485,M,1980-10-03,1d
13486,M,1942-11-26,1b
13487,F,1972-03-20,1b
13488,M,1981-06-17,1c
13489,F,1987-06-16,1d
13490,F,1978-07-23,1c
13491,F,1984-05-22,1d
13492,F,1981-05-16,1a
13493,F,1981-10-09,1a
13494,M,1977-09-11,1d
13495,M,1975-03-21,1a
13496,M,1954-07-24,1c
13497,M,1976-11-15,1b
13498,F,1967-10-31,1e
13499,F,1976-06-22,1c
13500,F,1975-05-27,1b
13501,F,1975-05-01,1a
13502,F,1972-12-01,1c
13503,F,1962-11-09,1b
13504,M,1980-04-12,1a
13505,M,1981-01-12,1c
13506,F,1983-02-06,1b
13507,M,1979-04-27,1a
13508,M,1969-05-29,1a
13509,M,1975-03-11,1a
13510,M,1985-08-12,1c
13511,F,1969-03-26,1d
13512,M,1984-11-02,1c
13513,F,1973-07-02,1d
13514,F,1984-01-08,1d
13515,M,1987-12-09,1d
13516,F,1955-03-12,1d
13517,M,1951-07-15,1a
13518,F,1981-10-10,1a
13519,F,1959-10-26,1b
13520,F,1975-05-24,1c
13521,F,1980-11-04,1b
13522,M,1950-12-21,1b
13523,M,1967-08-15,1d
13524,M,1976-10-05,1a
13525,M,1972-03-17,1b
13526,F,1971-04-19,1c
13527,F,1979-10-25,1c
13528,F,1984-08-21,1c
13529,M,1972-02-15,1b
13530,M,1970-06-19,1b
13531,M,1948-01-09,1c
13532,M,1978-08-27,1a
13533,M,1951-09-17,1d
13534,M,1987-02-20,1d
13535,M,1951-10-12,1d
13536,F,1959-06-14,1d
13537,F,1957-03-17,1c
13538,F,1982-02-27,1b
13539,F,1953-10-28,1d
13540,M,1984-11-27,1c
13541,F,1961-11-14,1a
13542,F,1982-06-24,1d
13543,F,1967-07-25,1b
13544,M,1975-10-19,1c
13545,M,1958-04-05,1d
13546,M,1980-08-28,1b
13547,F,1984-07-26,1c
13548,M,1989-09-22,1e
13549,F,1977-11-11,1a
13550,F,1979-02-09,1c
13551,F,1980-10-12,1b
13552,M,1974-11-22,1b
13553,M,1981-08-26,1a
13554,M,1983-12-01,1b
13555,M,1968-11-11,1c
13556,F,1985-05-22,1b
13557,M,1980-08-07,1b
13558,F,1982-10-14,1a
13559,M,1976-10-08,1a
13560,M,1970-08-25,1a
13561,M,1979-12-03,1c
13562,F,1953-01-08,1d
13563,F,1977-10-24,1a
13564,M,1976-11-06,1a
13565,M,1975-05-27,1b
13566,F,1985-01-01,1c
13567,M,1945-03-10,1b
13568,M,1959-09-30,1d
13569,M,1981-01-14,1c
13570,M,1964-06-14,1b
13571,M,1978-09-30,1a
13572,M,1943-03-12,1b
13573,F,1976-04-09,1b
13574,M,1944-09-11,1c
13575,M,1946-08-19,1b
13576,M,1962-06-24,1b
13577,M,1960-09-06,1a
13578,M,1976-07-19,1a
13579,F,1958-06-04,1d
13580,M,1975-11-25,1c
13581,M,1977-09-22,1a
13582,M,1981-04-06,1d
13583,M,1978-01-09,1b
13584,M,1933-08-27,1a
13585,M,1965-09-23,1b
13586,M,1977-07-26,1b
13587,M,1980-01-15,1a
13588,F,1988-04-06,1d
13589,M,1957-02-10,1b
13590,F,1953-10-10,1c
13591,F,1982-08-15,1d
13592,M,1954-07-25,1e
13593,F,1957-09-04,1c
13594,F,1944-12-26,1b
13595,M,1971-02-06,1d
13596,F,1952-03-05,1c
13597,F,1968-03-20,1e
13598,F,1976-04-06,1d
13599,M,1948-11-05,1b
13600,F,1983-04-21,1c
13601,M,1976-12-31,1d
13602,M,1973-07-19,1b
13603,M,1957-11-19,1c
13604,M,1972-08-20,1d
13605,M,1974-01-27,1a
13606,F,1985-09-12,1d
13607,F,1979-12-11,1b
13608,F,1985-02-27,1b
13609,M,1971-02-22,1a
13610,F,1979-06-23,1b
13611,F,1986-06-04,1d
13612,F,1980-05-27,1a
13613,M,1980-06-22,1d
13614,M,1970-11-19,1b
13615,F,1981-02-18,1d
13616,F,1965-02-08,1b
13617,F,1971-09-15,1d
13618,F,1956-11-30,1d
13619,M,1979-12-15,1b
13620,M,1984-07-11,1c
13621,M,1949-04-09,1c
13622,F,1976-01-09,1b
13623,M,1979-11-06,1b
13624,M,1940-03-25,1b
13625,M,1987-10-05,1d
13626,,,
13627,F,1977-07-03,1a
13628,M,1969-06-26,1b
13629,F,1940-02-01,1b
13630,M,1975-12-13,1c
13631,M,1973-10-07,1a
13632,F,1982-02-09,1c
13633,M,1972-12-21,1a
13634,F,1981-12-20,1b
13635,F,1979-03-02,1c
13636,M,1983-07-11,1c
13637,M,1976-07-13,1c
13638,F,1983-12-08,1b
13639,M,1972-11-27,1b
13640,F,1986-01-01,1d
13641,M,1972-06-09,1b
13642,F,1974-07-01,1b
13643,F,1979-02-11,1a
13644,M,1976-06-23,1a
13645,M,1978-06-18,1b
13646,F,1958-06-29,1a
13647,F,1979-12-19,1c
13648,M,1976-07-18,1b
13649,M,1977-11-01,1a
13650,F,1975-06-19,1d
13651,M,1963-02-27,1d
13652,F,1951-02-16,1d
13653,F,1967-02-18,1a
13654,F,1979-04-12,1d
13655,M,1976-01-28,1b
13656,M,1978-07-18,1a
13657,M,1941-06-04,1d
13658,F,1984-02-21,1b
13659,F,1981-12-04,1b
13660,M,1981-11-01,1d
13661,M,1978-07-10,1b
13662,M,1977-03-23,1d
13663,M,1952-08-14,1b
13664,F,1984-01-29,1c
13665,F,1981-11-09,1b
13666,M,1951-09-27,1b
13667,F,1985-03-29,1c
13668,M,1968-12-04,1b
13669,F,1987-10-03,1d
13670,M,1986-02-05,1d
13671,M,1980-11-07,1b
13672,F,1978-04-27,1c
13673,F,1983-09-02,1b
13674,F,1975-11-12,1c
13675,F,1975-12-20,1a
13676,M,1971-08-05,1b
13677,M,1977-06-06,1b
13678,F,1979-10-28,1a
13679,M,1931-05-19,1c
13680,M,1974-05-10,1b
13681,F,1981-02-21,1b
13682,M,1963-02-19,1b
13683,M,1978-08-01,1b
13684,M,1976-01-18,1b
13685,F,1982-03-12,1c
13686,F,1977-05-06,1d
13687,F,1963-02-15,1d
13688,M,1972-02-17,1c
13689,M,1943-08-14,1c
13690,M,1978-09-20,1d
13691,F,1965-02-23,1d
13692,M,1949-11-21,1d
13693,F,1976-06-24,1c
13694,M,1965-05-18,1b
13695,F,1979-01-31,1c
13696,M,1955-04-13,1d
13697,M,1979-03-13,1b
13698,M,1966-01-30,1c
13699,F,1970-07-07,1b
13700,M,1989-10-01,1e
13701,M,1974-12-04,1c
13702,M,1949-08-23,1e
13703,M,1979-10-05,1c
13704,F,1988-02-05,1b
13705,M,1974-07-31,1a
13706,M,1963-02-15,1d
13707,M,1952-04-29,1b
13708,F,1987-11-06,1d
13709,F,1981-07-31,1b
13710,F,1985-04-17,1b
13711,M,1952-10-13,1d
13712,F,1983-08-01,1b
13713,M,1956-01-06,1c
13714,F,1982-07-26,1c
13715,F,1978-10-01,1c
13716,M,1979-10-23,1b
13717,F,1981-12-22,1c
13718,F,1974-01-16,1a
13719,F,1979-05-12,1b
13720,F,1980-10-02,1d
13721,M,1976-07-27,1a
13722,M,1972-11-08,1c
13723,F,1978-02-19,1d
13724,F,1984-11-07,1d
13725,F,1981-01-16,1b
13726,F,1982-01-15,1b
13727,F,1973-07-19,1b
13728,M,1963-05-03,1d
13729,M,1975-12-16,1e
13730,F,1977-05-30,1c
13731,M,1981-10-23,1c
13732,F,1963-02-02,1c
13733,F,1983-07-20,1c
13734,F,1982-01-21,1d
13735,F,1981-09-05,1b
13736,F,1977-08-10,1b
13737,M,1974-06-27,1b
13738,F,1983-02-11,1c
13739,F,1981-02-13,1b
13740,F,1979-12-03,1a
13741,M,1948-08-31,1c
13742,F,1947-03-12,1c
13743,M,1979-07-03,1c
13744,M,1942-04-16,1c
13745,M,1987-02-28,1d
13746,M,1983-09-10,1d
13747,M,1982-09-14,1b
13748,F,1987-01-07,1d
13749,M,1983-09-27,1b
13750,F,1972-09-08,1a
13751,M,1963-07-25,1c
13752,F,1981-06-12,1d
13753,M,1949-11-18,1d
13754,F,1983-10-22,1b
13755,M,1947-12-15,1c
13756,M,1978-02-16,1b
13757,M,1989-11-05,1e
13758,F,1976-08-31,1b
13759,M,1980-07-04,1b
13760,F,1983-04-18,1b
13761,F,1976-10-01,1c
13762,F,1982-01-01,1d
13763,F,1987-03-25,1d
13764,M,1949-03-05,1c
13765,F,1982-03-12,1c
13766,M,1971-04-27,1b
13767,M,1962-08-30,1a
13768,M,1975-11-19,1c
13769,M,1975-11-24,1b
13770,M,1956-12-22,1e
13771,M,1985-01-07,1b
13772,M,1978-06-29,1a
13773,F,1946-09-28,1d
13774,M,1945-10-12,1d
13775,F,1963-05-02,1d
13776,M,1988-06-05,1d
13777,F,1975-04-12,1a
13778,M,1982-02-09,1d
13779,F,1964-10-09,1b
13780,F,1982-01-29,1b
13781,F,1975-04-28,1b
13782,F,1969-08-20,1b
13783,F,1975-04-07,1b
13784,M,1981-10-01,1b
13785,F,1984-07-20,1b
13786,M,1990-02-09,1d
13787,F,1979-02-09,1b
13788,F,1948-09-20,1d
13789,M,1982-08-06,1c
13790,F,1979-11-14,1c
13791,M,1971-09-21,1c
13792,M,1968-07-24,1d
13793,F,1962-08-15,1d
13794,M,1977-12-18,1b
13795,M,1987-06-21,1d
13796,M,1981-02-12,1a
13797,M,1942-02-14,1b
13798,M,1940-01-27,1b
13799,M,1974-10-21,1c
13800,M,1966-04-16,1c
13801,M,1939-05-01,1c
13802,M,1978-07-19,1a
13803,M,1961-07-04,1c
13804,M,1979-12-10,1a
13805,F,1980-01-29,1b
13806,F,1981-03-20,1b
13807,F,1986-09-16,1d
13808,M,1966-09-14,1a
13809,M,1972-12-26,1b
13810,M,1980-10-11,1b
13811,F,1978-10-09,1c
13812,M,1974-12-18,1d
13813,F,1970-09-15,1a
13814,M,1982-12-10,1b
13815,M,1956-09-22,1a
13816,M,1979-03-01,1c
13817,M,1985-05-27,1b
13818,F,1974-08-26,1a
13819,F,1976-09-09,1b
13820,M,1981-12-02,1c
13821,F,1982-11-12,1c
13822,M,1975-08-18,1c
13823,F,1976-02-21,1b
13824,F,1981-02-09,1c
13825,M,1978-04-06,1d
13826,F,1974-11-02,1b
13827,F,1981-10-17,1b
13828,M,1976-11-03,1b
13829,F,1983-01-14,1d
13830,M,1983-07-04,1c
13831,F,1975-01-29,1d
13832,M,1978-09-14,1b
13833,M,1974-09-10,1a
13834,M,1980-12-03,1b
13835,M,1983-05-16,1c
13836,M,1976-07-19,1a
13837,M,1975-07-04,1b
13838,F,1981-02-02,1c
13839,F,1975-02-24,1c
13840,F,1981-11-17,1b
13841,F,1952-09-01,1c
13842,M,1984-11-12,1c
13843,F,1983-07-30,1c
13844,M,1968-11-09,1d
13845,F,1983-07-19,1d
13846,M,1977-02-18,1c
13847,F,1980-04-07,1b
13848,F,1977-04-13,1d
13849,M,1978-10-27,1d
13850,F,1971-06-30,1b
13851,M,1985-01-07,1e
13852,F,1977-11-13,1a
13853,F,1979-09-18,1c
13854,F,1964-06-12,1b
13855,F,1968-10-26,1c
